,Name,Combined Score
193,Schizophreniform Disorder,2.4
194,Pustulosis Of Palm And Sole,1.2
195,Crohn'S Disease,1.77
196,Substance Dependence,0.97
197,Funisitis,1.26
198,Liposarcoma,2.02
199,Adhesions Of Uterus,2.4
200,Machado-Joseph Disease,1.92
201,Rem Sleep Behavior Disorder,1.14
202,Nk-Cell Enteropathy,2.18
203,Cerebrooculofacioskeletal Syndrome,2.38
204,Nephroma,1.19
205,Parainfluenza Virus Type 3,1.5
206,Cowden Syndrome 1,4.68
207,Inclusion Body Myopathy With Early-Onset Paget Disease With Or Without Frontotemporal Dementia 3,5.66
208,Cerebellopontine Angle Meningioma,1.42
209,Psammomatous Meningioma,1.39
210,Mitochondrial Complex Iii Deficiency,1.38
211,Hypobetalipoproteinemia,2.4
212,Tatton-Brown-Rahman Syndrome,1.18
213,Prostatitis,2.16
214,Fragile X Syndrome,1.7
215,Vaginal Adenoma,1.27
216,Spiradenoma,1.27
217,Marshall-Smith Syndrome,1.27
218,Ichthyosis,1.94
219,Fibrochondrogenesis,1.15
220,Bilateral Perisylvian Polymicrogyria,1.01
221,Central Neurocytoma,1.25
222,Sebaceous Gland Disease,2.07
223,Heart Septal Defect,0.99
224,Morphine Dependence,1.19
225,Ameloblastoma,1.13
226,Pancreatic Cancer,19.61
227,Eosinophilia-Myalgia Syndrome,1.33
228,"Ceroid Lipofuscinosis, Neuronal, 11",1.16
229,"Neurodevelopmental Disorder With Language Delay And Behavioral Abnormalities, With Or Without Seizures",5.66
230,"Thyroid Hormone Resistance, Selective Pituitary",2.27
231,Erythroleukemia,3.35
232,Systemic Scleroderma,8.11
233,"Microcephaly 5, Primary, Autosomal Recessive",1.1
234,Pancreatic Adenocarcinoma,9.97
235,Orofacial Cleft 15,1.36
236,Hypochromic Microcytic Anemia,1.35
237,"Ceroid Lipofuscinosis, Neuronal, 9",1.46
238,Ovarian Cyst,2.28
239,Diabetes Mellitus,6.529999999999999
240,Blau Syndrome,1.16
241,Charcot-Marie-Tooth Disease Type 2b1,2.42
242,Cervical Adenocarcinoma,1.07
243,Muscular Disease,0.91
244,Williams-Beuren Syndrome,2.33
245,Proliferative Type Fibrocystic Change Of Breast,3.0
246,"Macular Degeneration, Age-Related, 10",2.69
247,"Maturity-Onset Diabetes Of The Young, Type 7",1.31
248,Developmental And Epileptic Encephalopathy 53,1.39
249,Shwachman-Diamond Syndrome 1,1.79
250,Beaulieu-Boycott-Innes Syndrome,2.83
251,Angelman Syndrome,0.97
252,"Breasts And/Or Nipples, Aplasia Or Hypoplasia Of, 2",5.66
253,Bone Cancer,0.96
254,"Ichthyosis, Congenital, Autosomal Recessive 11",1.18
255,Periapical Periodontitis,1.15
256,Transient Neonatal Diabetes Mellitus,2.0
257,Prostate Adenocarcinoma,1.88
258,Nelson Syndrome,2.58
259,"Heart Defects, Congenital, And Other Congenital Anomalies",2.83
260,Autoimmune Disease,3.39
261,Acute Pancreatitis,1.13
262,Campylobacteriosis,1.2
263,Uveal Disease,0.97
264,Danon Disease,2.27
265,"Maturity-Onset Diabetes Of The Young, Type 6",1.27
266,Renal Tubular Acidosis,1.21
267,Leukodystrophy,0.84
268,Toxic Encephalopathy,1.9
269,"Neuropathy, Hereditary Motor And Sensory, Okinawa Type",1.7
270,Ovarian Lymphoma,1.46
271,Liberfarb Syndrome,2.83
272,Chronic Ulcer Of Skin,2.22
273,Immune System Organ Benign Neoplasm,1.39
274,Allergic Conjunctivitis,1.14
275,"Fanconi Anemia, Complementation Group N",2.84
276,Loeys-Dietz Syndrome 4,4.6899999999999995
277,Biliary Tract Disease,0.94
278,Hemimegalencephaly,2.47
279,Localized Pulmonary Fibrosis,1.5
280,Dry Eye Syndrome,1.06
281,Mammary Analogue Secretory Carcinoma,1.24
282,Lipid Storage Disease,2.8
283,Collagen Disease,2.08
284,Cockayne Syndrome,5.48
285,"Hypertension, Essential",0.83
286,Reynolds Syndrome,5.38
287,Adult Malignant Schwannoma,1.2
288,Neurogenic Bowel,2.58
289,Gastrointestinal Carcinoma,2.25
290,"Fanconi Anemia, Complementation Group B",2.62
291,Isolated Anencephaly,2.67
292,Noonan Syndrome-Like Disorder With Loose Anagen Hair 1,2.41
293,"Fanconi Anemia, Complementation Group D2",2.08
294,Retinal Disease,1.68
295,Microcephaly-Corpus Callosum And Cerebellar Vermis Hypoplasia-Facial Dysmorphism-Intellectual Disability Syndrom,2.83
296,Tooth Agenesis,0.86
297,"Deafness, Autosomal Recessive 104",1.29
298,"Coloboma, Ocular, Autosomal Dominant",2.1
299,Xanthinuria,1.21
300,"Isolated Growth Hormone Deficiency, Type Ia",1.78
301,Muscle Cancer,1.97
302,"Dementia, Lewy Body",0.92
303,Acute Laryngopharyngitis,1.27
304,Familial Expansile Osteolysis,1.19
305,Aceruloplasminemia,1.18
306,"Autoimmune Disease Of Eyes, Ear, Nose And Throat",1.11
307,Adult T-Cell Leukemia/Lymphoma,1.05
308,Kearns-Sayre Syndrome,1.76
309,Acrorenal Syndrome,3.0
310,Intraocular Pressure Quantitative Trait Locus,3.84
311,"Brachydactyly, Type B1",1.29
312,Hereditary Spastic Paraplegia,7.6899999999999995
313,"Parkinson Disease 20, Early-Onset",1.23
314,Diffuse Astrocytoma,1.11
315,Spastic Diplegia,2.16
316,Pancreatic Cancer 4,5.66
317,Germ Cell And Embryonal Cancer,2.98
318,Neuronal Ceroid Lipofuscinosis,3.34
319,"Maturity-Onset Diabetes Of The Young, Type 9",1.31
320,Childhood Endodermal Sinus Tumor,1.39
321,Otorrhea,1.24
322,Lipid Metabolism Disorder,3.4299999999999997
323,Essential Thrombocythemia,1.86
324,"Intellectual Developmental Disorder, Autosomal Dominant 46",1.39
325,Aortic Dissection,2.87
326,"Hypocalciuric Hypercalcemia, Familial, Type I",2.58
327,Vascular Cancer,2.1
328,Pulmonary Hemosiderosis,1.31
329,"Spastic Paraplegia 17, Autosomal Dominant",1.04
330,Limb Ischemia,1.08
331,Dermoid Cyst Of Ovary,1.42
332,Childhood Pilocytic Astrocytoma,1.24
333,"Granulomatous Disease, Chronic, X-Linked",1.04
334,Hashimoto Thyroiditis,0.98
335,Viral Infectious Disease,0.9
336,Inclusion Body Myopathy With Early-Onset Paget Disease Of Bone With Or Without Frontotemporal Dementia 2,3.81
337,Hypotonia-Cystinuria Syndrome,1.05
338,Beach Ear,1.24
339,"Myopathy, Centronuclear, 2",1.06
340,Endocrine Organ Benign Neoplasm,1.92
341,Pyloric Stenosis,2.12
342,Oligodendroglioma,1.91
343,Glucose Intolerance,0.97
344,Pulmonary Edema,1.03
345,Appendicitis,1.12
346,Gastric Adenocarcinoma,1.99
347,Chronic Kidney Disease,0.84
348,Liver Disease,0.97
349,Peutz-Jeghers Syndrome,1.04
350,Connective Tissue Disease,7.32
351,Radiation Induced Cancer,3.0
352,Uterine Corpus Sarcoma,1.5
353,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,1.16
354,Monocytic Leukemia,1.04
355,Coffin-Siris Syndrome 1,1.8
356,Autoimmune Disease Of Cardiovascular System,2.04
357,Lung Sarcomatoid Carcinoma,1.07
358,Irritable Bowel Syndrome,3.08
359,Macrocephaly/Autism Syndrome,2.46
360,Immunodeficiency 36 With Lymphoproliferation,2.83
361,Situs Inversus,4.86
362,Mixed Epithelial Stromal Tumour,2.66
363,Optic Nerve Disease,0.87
364,Astigmatism,1.87
365,"Muscular Dystrophy, Duchenne Type",1.12
366,"Mitochondrial Complex Iii Deficiency, Nuclear Type 8",2.83
367,Atrial Septal Defect 6,6.9
368,Azoospermia,2.4000000000000004
369,Lymphosarcoma,1.5
370,Polycystic Kidney Disease 1,1.0
371,Olfactory Groove Meningioma,1.39
372,Acute Pyelonephritis,1.19
373,Thyroid Gland Anaplastic Carcinoma,2.8
374,Congenital Epulis,1.42
375,Beckwith-Wiedemann Syndrome,4.31
376,Leukemia,0.93
377,Bronchiolitis Obliterans,1.12
378,Salivary Gland Disease,3.07
379,Salivary Gland Carcinoma,1.06
380,Familial Cold Autoinflammatory Syndrome 2,3.87
381,Reticuloendotheliosis,1.61
382,Vaginitis,1.12
383,Varicocele,2.14
384,Restrictive Dermopathy,2.38
385,Heart Valve Disease,1.98
386,"Anemia, X-Linked, With Or Without Neutropenia And/Or Platelet Abnormalities",1.39
387,Herpangina,2.16
388,Lymphoproliferative Syndrome,1.02
389,"Mitochondrial Complex Iv Deficiency, Nuclear Type 5",1.14
390,Centronuclear Myopathy,0.98
391,Colon Lymphoma,1.36
392,Lung Cancer,20.14
393,"Rothmund-Thomson Syndrome, Type 2",2.14
394,Isolated Congenital Breast Hypoplasia/Aplasia,5.66
395,Ovarian Carcinosarcoma,2.48
396,Crescentic Glomerulonephritis,1.14
397,Spondylarthropathy,1.27
398,Hyperlysinemia,2.48
399,Tremor,3.98
400,Inflammatory Breast Carcinoma,1.29
401,Non-Syndromic X-Linked Intellectual Disability,2.52
402,Arterial Tortuosity Syndrome,1.12
403,Gallbladder Small Cell Carcinoma,1.24
404,Tinea Capitis,1.23
405,Endodermal Sinus Tumor,1.13
406,Covid-19,2.05
407,Visual Epilepsy,1.18
408,Cholera,3.3
409,Otopalatodigital Syndrome Spectrum Disorder,1.15
410,Asthma,6.6899999999999995
411,Perinatal Necrotizing Enterocolitis,2.14
412,Beta-Thalassemia Intermedia,1.06
413,Iron Overload,1.41
414,Psoriatic Arthritis,1.94
415,Mccune-Albright Syndrome,2.02
416,Foramen Magnum Meningioma,1.5
417,Mucoepidermoid Carcinoma,1.09
418,Motion Sickness,1.15
419,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia",2.22
420,Carney Complex Variant,3.96
421,Immunodeficiency 31b,2.68
422,Localized Osteosarcoma,1.23
423,Cerebellar Hypoplasia,1.03
424,Arthritis,2.73
425,Lacrimal Gland Carcinoma,1.29
426,Non-Specific Early-Onset Epileptic Encephalopathy,3.46
427,Melorheostosis,3.7199999999999998
428,Developmental And Epileptic Encephalopathy 89,1.5
429,"Cardiac, Facial, And Digital Anomalies With Developmental Delay",2.83
430,Uterine Carcinosarcoma,1.9
431,Gastric Lymphoma,1.2
432,Aortic Valve Insufficiency,2.24
433,Histiocytosis,1.12
434,Ureteral Disease,3.09
435,Iga Glomerulonephritis,2.87
436,Cakut,1.63
437,Immune Deficiency Disease,5.46
438,Colon Adenoma,1.08
439,Intracranial Berry Aneurysm,0.93
440,Achondroplasia,2.09
441,Sensorineural Hearing Loss,2.31
442,Apert Syndrome,1.21
443,Laryngeal Squamous Cell Carcinoma,5.86
444,"Hypercholesterolemia, Familial, 4",1.11
445,Connective Tissue Benign Neoplasm,2.1
446,Conn'S Syndrome,4.13
447,Retinal Telangiectasia,1.17
448,Pyelonephritis,2.31
449,Vitelliform Macular Dystrophy,2.0
450,Primary Hyperparathyroidism,2.3
451,Brittle Bone Disorder,5.79
452,Childhood Malignant Schwannoma,1.42
453,Gastrointestinal Tularemia,1.23
454,Pleural Disease,1.01
455,Epithelial-Myoepithelial Carcinoma,1.27
456,Congenital Generalized Lipodystrophy,1.87
457,Myopathy,7.63
458,Short Stature With Microcephaly And Distinctive Facies,2.83
459,"Pancreas, Dorsal, Agenesis Of",1.09
460,Spondylosis,1.15
461,Neuronal Ceroid-Lipofuscinoses,1.35
462,"Mitochondrial Complex Iii Deficiency, Nuclear Type 1",2.79
463,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked",1.11
464,Hepatitis C,1.1
465,Vaginal Endometrial Stromal Sarcoma,2.54
466,Autoimmune Disease Of Central Nervous System,1.87
467,Aplastic Anemia,5.720000000000001
468,"Multiple Endocrine Neoplasia, Type Iv",5.77
469,Short-Rib Thoracic Dysplasia 10 With Or Without Polydactyly,2.24
470,Peyronie Disease,1.5
471,Insulin-Like Growth Factor I,5.95
472,Pilocytic Astrocytoma,1.95
473,Corneal Disease,2.92
474,Schwannomatosis,1.1
475,Atrioventricular Septal Defect,1.01
476,Vacterl Association,1.16
477,Pulmonary Blastoma,1.16
478,Giant Cell Glioblastoma,1.8
479,Ischemia,2.02
480,Breast Ductal Carcinoma,5.16
481,Geleophysic Dysplasia,3.14
482,Chronic Conjunctivitis,1.14
483,"Mixed Phenotype Acute Leukemia, B/Myeloid",1.29
484,Fibrosarcoma Of Bone,1.24
485,Chronic Purulent Otitis Media,1.24
486,Diabetic Polyneuropathy,1.16
487,Isolated Ectopia Lentis,2.14
488,Sertoli Cell Tumor,1.22
489,Microcytic Anemia,1.15
490,Loeys-Dietz Syndrome 6,5.66
491,Emery-Dreifuss Muscular Dystrophy,2.06
492,Periodontitis,2.0
493,Gastrointestinal System Benign Neoplasm,0.97
494,Kallmann Syndrome,0.85
495,"Ectopia Lentis 1, Isolated, Autosomal Dominant",2.76
496,West Syndrome,3.12
497,Spina Bifida,1.04
498,Achard Syndrome,1.5
499,Kidney Cancer,0.87
500,Hepatitis,1.04
501,Renal Cysts And Diabetes Syndrome,2.16
502,Enterocolitis,1.27
503,Ovary Adenocarcinoma,2.96
504,Diamond-Blackfan Anemia 1,0.96
505,Intraocular Retinoblastoma,2.48
506,Telangiectasis,2.1
507,Microcephaly,7.5600000000000005
508,Status Epilepticus,1.02
509,Dermatitis Herpetiformis,1.18
510,Atrioventricular Septal Defect 5,2.83
511,"46,Xy Sex Reversal",1.15
512,Retinal Perforation,2.36
513,Breast Benign Neoplasm,2.2
514,Open-Angle Glaucoma,2.04
515,Papillary Adenocarcinoma,2.26
516,Varicose Veins,3.13
517,Myotonic Dystrophy 1,2.5
518,Dacryoadenitis,1.21
519,Proteus Syndrome,2.24
520,Agnosia,0.98
521,Galloway-Mowat Syndrome 1,1.29
522,Female Breast Cancer,3.2700000000000005
523,Ureteric Orifice Cancer,1.31
524,"Neuropathy, Congenital Hypomyelinating, 1, Autosomal Recessive",1.7
525,Oligospermia,1.01
526,Root Resorption,1.17
527,Exostosis,1.14
528,Polycystic Kidney Disease 2,1.05
529,Mucinous Stomach Adenocarcinoma,1.26
530,Leprosy,1.98
531,Hyper Ige Syndrome,1.01
532,Urinary Tract Obstruction,3.05
533,Pancreatitis,1.93
534,Sweat Gland Disease,1.06
535,Splenic Marginal Zone Lymphoma,1.14
536,Hutchinson-Gilford Progeria Syndrome,0.97
537,Leishmaniasis,2.03
538,Ossifying Fibroma,2.7
539,Iron Metabolism Disease,1.13
540,Bacterial Sepsis,1.08
541,"Deafness, Autosomal Recessive 59",2.92
542,Diaphragmatic Eventration,1.15
543,Type 1 Diabetes Mellitus 8,1.24
544,Atrial Septal Defect 2,3.1500000000000004
545,Diamond-Blackfan Anemia,2.45
546,Clear Cell Adenocarcinoma,2.36
547,Malignant Fibrous Histiocytoma,1.11
548,Corneal Ulcer,1.15
549,Thyroid Gland Disease,0.96
550,Placenta Accreta,1.16
551,Cavernous Sinus Meningioma,1.39
552,Eye Disease,10.33
553,Potocki-Shaffer Syndrome,0.96
554,Tuberculum Sellae Meningioma,2.84
555,Tongue Carcinoma,0.99
556,Cutaneous Leishmaniasis,2.11
557,Central Nervous System Hematologic Cancer,1.1
558,Vitreous Disease,4.36
559,Hypopharynx Cancer,1.12
560,Hypermanganesemia With Dystonia 2,1.36
561,Hermaphroditism,1.14
562,Muscular Atrophy,5.2
563,Severe Congenital Neutropenia 8,1.31
564,Mammary Paget'S Disease,1.1
565,Gingivitis,1.08
566,"Lissencephaly, X-Linked, 2",2.2
567,Bladder Clear Cell Adenocarcinoma,1.2
568,Short-Rib Thoracic Dysplasia 9 With Or Without Polydactyly,1.13
569,Hepatitis A,2.2
570,Ileitis,1.1
571,"Neuropathy, Ataxia, And Retinitis Pigmentosa",0.87
572,Endosalpingiosis,2.62
573,Goldberg-Shprintzen Syndrome,2.34
574,Myeloproliferative Neoplasm,0.92
575,Van Maldergem Syndrome 1,2.38
576,"Mitochondrial Complex I Deficiency, Nuclear Type 1",2.62
577,Uterine Benign Neoplasm,2.05
578,Childhood Acute Lymphocytic Leukemia,1.05
579,Gene Duplication Disease,2.34
580,Paracoccidioidomycosis,2.37
581,Keloid Disorder,1.5
582,Disorder Of Sexual Development,0.98
583,Chromosome 17q12 Duplication Syndrome,1.41
584,Hypermanganesemia With Dystonia,1.31
585,Colon Leiomyoma,1.24
586,Amyotrophic Lateral Sclerosis 10 With Or Without Frontotemporal Dementia,2.18
587,"Congenital Disorder Of Glycosylation, Type Iia",2.3
588,Cartilage Disease,1.11
589,Retinitis Pigmentosa,13.770000000000001
590,Solitary Fibrous Tumor/Hemangiopericytoma,1.33
591,"Advanced Sleep Phase Syndrome, Familial, 3",1.19
592,Legionellosis,2.12
593,Von Economo'S Disease,1.26
594,Metabolic Dysfunction-Associated Steatotic Liver Disease,3.49
595,Lymphatic System Disease,0.9
596,Parasitic Protozoa Infectious Disease,1.88
597,Cervical Non-Keratinizing Squamous Cell Carcinoma,4.86
598,Peritonitis,2.03
599,Cholangiocarcinoma,3.68
600,Human Immunodeficiency Virus Infectious Disease,0.95
601,Castration-Resistant Prostate Carcinoma,1.25
602,Uterine Body Mixed Cancer,3.1399999999999997
603,Brucellosis,2.19
604,Frontotemporal Dementia,3.64
605,Microphthalmia,3.45
606,Iron Overload In Africa,1.39
607,Patent Foramen Ovale,5.82
608,Peripheral Nervous System Disease,6.74
609,Neuroblastoma 1,5.720000000000001
610,Anthracosis,1.24
611,Ewing Sarcoma,3.64
612,Left Ventricular Noncompaction,0.86
613,Coronin-1a Deficiency,2.58
614,Bronchitis,2.02
615,Rectal Disease,1.04
616,Van Buchem Disease,1.11
617,Retinopathy Of Prematurity,1.92
618,Impetigo Herpetiformis,1.39
619,Maturity-Onset Diabetes Of The Young,3.27
620,Testicular Cancer,5.48
621,Estrogen-Receptor Positive Breast Cancer,4.21
622,Somatoform Disorder,1.05
623,Steatotic Liver Disease,3.61
624,"Glaucoma, Primary Open Angle",1.84
625,Bartholin'S Gland Adenoid Cystic Carcinoma,1.27
626,Limb-Girdle Muscular Dystrophy,2.0
627,Inclusion Body Myopathy With Early-Onset Paget Disease Of Bone With Or Without Frontotemporal Dementia 1,1.31
628,"Aortic Aneurysm, Familial Abdominal, 1",1.86
629,Invasive Aspergillosis,1.24
630,Pilocytic Astrocytoma Of Cerebellum,1.29
631,Malignant Pleural Mesothelioma,3.16
632,Ureteral Obstruction,2.2
633,Pneumonic Plague,1.23
634,Scrapie,1.08
635,Familial Adenomatous Polyposis,0.94
636,"Fanconi Anemia, Complementation Group C",4.12
637,Parasitic Ectoparasitic Infectious Disease,1.11
638,Pelvic Inflammatory Disease,1.1
639,Respiratory Syncytial Virus Infectious Disease,0.44
640,Lung Cancer Susceptibility 3,5.11
641,High Grade Glioma,2.5
642,Familial Cold Autoinflammatory Syndrome,2.36
643,Lymph Node Carcinoma,1.18
644,"Corneal Dystrophy, Fleck",1.15
645,Esophagitis,1.05
646,Acute Apical Periodontitis,1.42
647,Contact Dermatitis,0.99
648,Progressive Myoclonus Epilepsy,1.8
649,Epicardium Cancer,1.33
650,Echinococcosis,3.41
651,Endocervical Carcinoma,1.03
652,Combined Immunodeficiency,1.67
653,Lens Disease,2.88
654,Immune System Disease,0.88
655,Composite Lymphoma,1.29
656,Scoliosis,6.319999999999999
657,Richter'S Syndrome,1.18
658,Spina Bifida Occulta,1.18
659,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne",1.21
660,Rubella,1.06
661,Myelofibrosis,2.0
662,Venous Insufficiency,1.14
663,Riddle Syndrome,2.34
664,Trombiculiasis,2.4
665,Petroclival Meningioma,1.31
666,Heinz Body Anemia,2.14
667,"Osteogenesis Imperfecta, Type Xviii",2.32
668,Miller-Dieker Lissencephaly Syndrome,1.02
669,Physical Disorder,4.48
670,Morgagni Cataract,1.33
671,Peritoneum Cancer,5.03
672,Visceral Heterotaxy,1.69
673,Short-Rib Thoracic Dysplasia 1 With Or Without Polydactyly,3.46
674,Pelvic Organ Prolapse,1.07
675,Larynx Cancer,2.97
676,Coloboma Of Macula,1.61
677,Muckle-Wells Syndrome,2.32
