,Name,Score
139,Retinal Vascular Occlusion,1.11
140,Vitreous Detachment,1.2
141,Common Peroneal Nerve Lesion,1.23
142,Williams-Beuren Region Duplication Syndrome,1.22
143,Medulloblastoma Shh Activated And Tp53 Mutant,1.5
144,Brachial Plexus Neuropathy,1.21
145,Multiple Carboxylase Deficiency,1.3
146,"Spastic Paraplegia 81, Autosomal Recessive",1.34
147,Persistent Truncus Arteriosus,2.83
148,Impetigo Herpetiformis,1.39
149,Fibrous Meningioma,1.26
150,Chondrosarcoma,1.12
151,Pustulosis Of Palm And Sole,1.2
152,Kallmann Syndrome,0.85
153,Pituitary Adenoma,1.03
154,Frank-Ter Haar Syndrome,1.24
155,Inclusion Body Myopathy With Early-Onset Paget Disease Of Bone With Or Without Frontotemporal Dementia 1,1.31
156,Skull Base Meningioma,1.24
157,Pleomorphic Adenoma,1.09
158,Lung Sarcomatoid Carcinoma,1.07
159,Chronic Granulomatous Disease,0.95
160,Immunodeficiency 49,2.38
161,Clear Cell Meningioma,1.21
162,Gastric Ulcer,1.29
163,Pilocytic Astrocytoma Of Cerebellum,1.29
164,Vitiligo-Associated Multiple Autoimmune Disease Susceptibility 1,1.04
165,Perrault Syndrome,0.94
166,Brain Meningioma,1.29
167,Parasagittal Meningioma,1.42
168,Spina Bifida,1.04
169,Retinitis Pigmentosa 89,2.52
170,"Deafness, Autosomal Recessive 84a",1.28
171,Cerebellopontine Angle Meningioma,1.42
172,Psammomatous Meningioma,1.39
173,"Schwannomatosis, Vestibular",1.13
174,Meningothelial Meningioma,1.24
175,Spinal Meningioma,1.24
176,Microvascular Complications Of Diabetes 5,0.98
177,"Spastic Paraplegia 52, Autosomal Recessive",1.46
178,Diabetic Macular Edema,1.09
179,Pericardial Effusion,1.08
180,Kidney Cancer,0.87
181,Accommodative Esotropia,1.31
182,Secretory Meningioma,1.29
183,Von Hippel-Lindau Syndrome,0.96
184,Anencephaly,1.01
185,Myelomeningocele,1.14
186,Glycogen Storage Disease Iv,1.07
187,Central Neurocytoma,1.25
188,Neurodevelopmental Disorder With Dysmorphic Facies And Distal Limb Anomalies,2.4
189,Heart Septal Defect,0.99
190,Intraocular Retinoblastoma,2.48
191,Perineurioma,1.29
192,Transitional Meningioma,1.31
193,Nephronophthisis,1.67
194,Bardet-Biedl Syndrome 8,1.39
195,Alpha-Methylacyl-Coa Racemase Deficiency,1.18
196,Olfactory Groove Meningioma,1.39
197,"Chromosome 17p13.3, Centromeric, Duplication Syndrome",1.16
198,Atrioventricular Septal Defect 5,2.83
199,Cerebral Cavernous Malformations,1.01
200,"Vacterl Association, X-Linked, With Or Without Hydrocephalus",1.34
201,Hard Palate Cancer,1.21
202,Optic Nerve Sheath Meningioma,1.36
203,"Neutrophilic Dermatosis, Acute Febrile",1.11
204,Diverticulitis,1.14
205,Robinow Syndrome,1.14
206,Solar Retinopathy,1.36
207,Epicardium Cancer,1.33
208,Intermittent Claudication,1.14
209,Intussusception,1.13
210,Malignant Childhood Germ Cell Neoplasm,1.5
211,Coronary Heart Disease 1,0.78
212,Immunodeficiency 40,1.21
213,Retinal Degeneration,0.82
214,46 Xx Gonadal Dysgenesis,0.92
215,Oculoauricular Syndrome,1.21
216,Hypochondriasis,1.26
217,Lenz-Majewski Hyperostotic Dwarfism,1.23
218,Sphenoorbital Meningioma,1.46
219,Leukocoria,1.24
220,Impetigo,1.15
221,Uterine Hypoplasia,1.42
222,Centronuclear Myopathy,0.98
223,Intraventricular Meningioma,1.39
224,Tethered Spinal Cord Syndrome,1.18
225,"Myopathy, Lactic Acidosis, And Sideroblastic Anemia 3",1.31
226,Spina Bifida Occulta,1.18
227,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne",1.21
228,Pityriasis Rubra Pilaris,1.19
229,Oligospermia,1.01
230,Developmental And Epileptic Encephalopathy 53,1.39
231,Valproate Embryopathy,1.29
232,Amyotrophic Neuralgia,1.21
233,Leber Plus Disease,1.5
234,Oculogastrointestinal Neurodevelopmental Syndrome,2.83
235,Crouzon Syndrome,1.04
236,Petroclival Meningioma,1.31
237,"Ichthyosis, Congenital, Autosomal Recessive 11",1.18
238,Inflammatory Breast Carcinoma,1.29
239,"Congenital Heart Defects, Multiple Types, 4",2.65
240,Miller-Dieker Lissencephaly Syndrome,1.02
241,Sweat Gland Disease,1.06
242,Schnitzler Syndrome,1.27
243,Tricuspid Atresia,1.19
244,"Heart Defects, Congenital, And Other Congenital Anomalies",2.83
245,Tauopathy,0.9
246,Visceral Heterotaxy,1.69
247,Hutchinson-Gilford Progeria Syndrome,0.97
248,Atypical Coarctation Of Aorta,2.79
249,Bone Marrow Failure Syndrome 6,2.83
250,Trilateral Retinoblastoma,1.27
251,Cerebellopontine Angle Tumor,1.33
252,Tinea Capitis,1.23
